customer_id,name,age,account_balance,device_id,account_age_days
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Daniel Doyle,69,47585.0,8b9d2434-e465-4150-bd9c-66b3ad3c2d6d,1131
0822e8f3-6c03-4199-972a-846916419f82,Daniel Wagner,89,30334.27,b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,1639
6b65a6a4-8b81-48f6-b38a-088ca65ed389,Kevin Pacheco,41,32893.54,28df6ec4-ce4a-4bbd-8241-330b01a9e71f,770
47229389-571a-4876-ac30-7511b2b9437a,Tyler Rogers,47,11404.62,5be6128e-18c2-4797-a142-ea7d17be3111,1216
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,Monica Herrera,77,9986.82,142c3fe8-60e7-4113-ac1b-8ca1f91e1d4c,460
a0ee89ae-d453-4d32-8b0d-bb418d5288f1,Shannon Ray,75,26713.07,a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,748
fc377a4c-4a15-444d-85e7-ce8a3a578a8e,David Garcia,66,26713.96,d58842de-a2bc-472f-b412-b29347294739,2559
5af30553-5ec4-4e08-a9a3-b2e95d65a441,Derek Zuniga,59,3286.62,a28defe3-9bf0-4273-9247-6f57a5e5a5ab,2748
3eabedcb-baa8-4dd4-88bd-64072bcfbe01,James Mayo,32,23347.43,3838b326-8e94-4239-b02b-61c4a3d70628,2735
c4b032cc-d7c5-44a5-9304-317faf42e12f,Crystal Johnson,79,10784.02,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,1268
9132b63e-f162-47e4-a9c3-49e03602f8ac,Emily Rios,81,23871.38,a491f0b2-ea1f-4a65-a27a-984d654821d0,647
23bed01d-43cf-4fde-a493-3b83757750a9,Justin Baker,38,23074.46,956269f0-e5d7-4875-adad-d6c795a76d79,1298
ff50bde4-3825-47b8-9cab-cc97663f1c97,Ms. Ann Williams MD,21,47167.89,ae340454-cac5-468c-a8f4-9481a0a04dc4,2062
62801c45-1043-4a10-98ae-43346c12ace8,Zachary Rice,26,1782.35,f143262f-dc5c-4eed-8da0-365bf89897b9,2946
1d53434b-b881-49b9-ae27-0da702f06b90,Kimberly Adams,77,6979.87,4b22d308-1c8e-4ee9-9715-bd6fa4161293,2557
00d4af59-7427-4ca3-a87d-06ca6f4cc69a,Sherri Baker,25,2685.04,81f76d1c-2dbc-4134-830f-f46e8026695f,2254
a013ac6e-deda-4e16-9b3d-bd5ce9a1fa6f,Mark Lynch,53,9929.57,295b4715-c333-4861-9fb8-d16c2720797d,1022
ec24a3c5-c754-408f-b418-8f3f8a14be62,April Nguyen,23,11189.14,5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,1501
ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,Anthony Humphrey,80,42271.95,bb5e4bcf-15ed-4269-9429-6c07f26b4776,1580
fa5d3100-11b7-4948-90e6-e6607c69dee1,Pamela Anderson,51,20362.36,2a45c2ab-8cbf-4db0-b264-accc79ac1b1e,996
9b49bd26-df57-459a-8715-a10343dac043,Daniel Ryan,31,36636.33,b683d2e6-337e-42df-b09b-2a5cbadcc32a,456
abf3ad39-fec2-4bbe-a624-5bfa4fcca39a,Jessica Holmes,79,16941.19,1064005c-3985-43cf-bf76-be1d1efa2197,2768
8dcdcd03-969b-4662-8562-8059568cc69b,Daniel Jones,70,29750.81,114125c6-3a9b-4dd4-8f12-59e0a18ff6b6,2265
5496f63c-dc11-40c1-880a-adfbe7c99b26,David Caldwell,77,27592.11,b92da22b-21df-406f-8a0b-3c3336d8393a,1181
93829b43-922f-415a-a1e3-db63ef7ddc76,Richard Aguirre,32,9098.08,a8b317fa-18d0-452b-9825-bc5430beb45f,2569
693dffbc-6c6f-4611-9ab3-3edf6e595ed3,Nicholas Nunez,18,10737.07,0f844fef-1931-49ee-a56c-0941fbf24050,1496
ccf3a171-56dc-4907-ba6c-34ab6712303a,Danielle Lee,80,40957.61,2ef91276-6c00-4f61-a3e2-fcb472d8567d,2641
dfde4fbf-3ff3-40bf-b66e-cb15474ebc19,Jessica Callahan,25,36721.35,a6f2f7b8-0cf3-4b58-9910-8be58ce21ea3,2337
03c72ba8-d605-4770-8a63-f881ffd0f9d5,Tammy Allison,22,46388.74,7b3a4e3e-7c52-4a17-a80a-c07a2a935d62,2089
e7067ef4-66aa-4385-9d59-ba7136b82481,James Galloway,45,43292.07,c8fe3ccd-c8b8-49c6-ad30-49cf43e458fc,1864
b253d218-6c4a-47ea-8906-17f2747b6dba,Whitney Peters,29,17214.0,309d258c-27a0-43d7-bc96-7f79b7e99aca,503
0ef8c2d6-f7fd-4646-b7bb-3eec4bf50b52,Kimberly Adkins,40,33773.22,7a0ecfea-958c-49ba-8cd6-20c20ea2622b,805
87f7e1fb-da4b-49ca-ab5c-f46780bacd64,Tyler Miller,61,32240.32,1165e210-9854-4881-918a-9d292f923996,1571
675dd5af-3c36-4296-9ca0-2eecacdabacc,Steve Sanchez,82,19763.42,14fcdd54-9e8f-4965-8a2c-827e98326856,1486
90b2b633-956b-4c0c-a849-9b926b5252e3,Taylor Harris,20,38278.47,43ff5011-3d1a-45dd-906e-5a9ab758588d,503
a53f8a28-abf3-43fc-a181-3d25655238a6,Eugene Walton,31,25195.98,9f044aed-7552-4327-8262-7f7312922f83,393
19985f15-ff00-4d4d-9020-59e4ff9ab5c2,Daniel Baker,32,6433.65,119c4ea3-e180-4081-9958-a499eeea163e,2940
48f4ef12-5e99-43d2-be89-6c64e117dac3,Roy Warner,68,2540.03,ce9e1a11-fcbb-4e59-bbdd-cf7c9c96e9ec,2791
aaf91531-0200-41f0-8768-a84fa76afde6,Elizabeth Alvarado,69,28600.5,43b409ef-2260-470f-a0cc-edc5f05db76e,1924
be0f051b-1b66-45a9-a3c4-36571d8cbbac,Denise Jacobs,40,30616.45,afffcfd2-341e-440b-97c7-00aab7b56ea7,1679
81627cf1-4394-42e6-9a58-7e8aa25d6b29,Taylor Mathis Jr.,60,10950.0,0b49452d-46d4-43f3-9450-281c6c6f7633,2573
217d65a0-c568-41cd-9563-f61600e85ece,Deborah Figueroa,49,30344.41,8f9797b0-6d7c-43c9-b4a6-9f3c8d3aed99,1820
f1eedba3-1343-4e61-9ca3-c4480279b6a6,Stephanie Gardner,83,31593.35,8d7248e2-951f-48d0-9e84-f058d5a804eb,1598
0ab54bde-20a0-4502-ae06-809725e97977,Steven Flynn,74,6169.22,5b9962c6-e61f-4cc0-8a36-8ce7dc570131,796
aabc25fa-3fe1-4e47-ae9b-ec3635c7936c,Richard Henson,45,11703.58,bfddc3d9-9ee3-4c2a-b94d-62046808593f,1364
3c9ad14c-ee0c-4eb5-acfe-db992790cebd,Vanessa Cochran,47,44280.73,2dea9493-0658-463a-a98c-206fe1a47e10,1664
c84a7b28-550a-4b46-acab-3301bc8f7d29,Rebekah Shields,79,6392.54,28c13091-444d-410b-bf87-e362cf8d446a,1401
61ee411a-1bac-47a7-b386-f7a4c991603f,Shannon Walker,44,21928.28,598336e3-75d6-4ed4-ab1f-a9f2d10bd1d0,2676
df0f06cb-cb9b-4326-920e-ac174e20fd1a,Alexander Lee,20,1340.65,11c58ef0-dd46-4c09-8752-87aa5408f9ac,1480
59e4b671-4774-4c58-85f8-bc16f7860b50,Jennifer Zavala,44,21453.14,0710d430-f071-4879-94c6-3cd889456f27,1258
42deffcc-f86c-4ca2-a085-96db1d870966,Victor Baker,61,12962.15,587ef344-6f3f-420c-98b8-e4cc1bc044fc,1632
6fb78271-504d-481f-8953-5b63ba81edd9,Kayla Cruz,69,18817.85,0b5cea6a-4135-4e8c-b0a9-00ad939b462d,1521
85197ff4-006e-46e3-afa1-7735b572f3d0,Kimberly Ball,75,48159.92,3270e4fa-abae-4f43-bcae-8081bdf070aa,1637
